stateFIPS,CongressionalDistrict,StateLower,StateAbbreviation,Population2016,FracCDFromSLD,FracSLDFromCD
1,6,44,AL,45160.24,0.065,0.017
1,6,45,AL,46994.947,0.067,0.017
1,6,46,AL,45388.606,0.065,0.016
1,6,47,AL,45651.025,0.065,0.017
1,6,48,AL,46366.966,0.066,0.017
1,6,49,AL,47410.492,0.068,0.018
1,6,51,AL,45145.216,0.065,0.018
1,6,52,AL,3734.975,0.005,0.002
1,6,54,AL,18245.186,0.026,0.007
1,6,55,AL,5546.873,0.008,0.002
1,6,56,AL,5941.504,0.009,0.002
1,6,57,AL,17237.574,0.025,0.007
1,6,58,AL,1184.895,0.002,0
1,6,59,AL,7638.218,0.011,0.003
1,6,60,AL,11250.998,0.016,0.005
1,6,72,AL,6205.457,0.009,0.003
1,6,73,AL,49594.444,0.071,0.022
1,6,81,AL,9360.707,0.013,0.005
1,7,15,AL,11187.897,0.016,0.003
1,7,16,AL,3336.282,0.005,0.001
1,7,52,AL,41420.258,0.061,0.017
1,7,54,AL,26897.026,0.04,0.011
1,7,55,AL,39596.34,0.058,0.016
1,7,56,AL,39201.709,0.058,0.016
1,7,57,AL,27905.639,0.041,0.011
1,7,58,AL,43975.345,0.065,0.018
1,7,59,AL,37652.23,0.055,0.015
1,7,60,AL,33905.236,0.05,0.014
1,7,61,AL,20343.594,0.03,0.008
1,7,62,AL,45737.034,0.067,0.019
1,7,63,AL,27656.945,0.041,0.011
1,7,65,AL,20973.38,0.031,0.009
1,7,67,AL,41145.201,0.061,0.017
1,7,68,AL,16157.912,0.024,0.007
1,7,69,AL,27101.337,0.04,0.012
1,7,70,AL,48670.972,0.072,0.021
1,7,71,AL,45336.685,0.067,0.02
1,7,72,AL,36493.49,0.054,0.016
1,7,76,AL,23805.019,0.035,0.011
1,7,77,AL,8779.1,0.013,0.004
1,7,78,AL,12498.573,0.018,0.006
2,0,1,AK,18275.322,0.025,0.006
2,0,2,AK,18285.632,0.025,0.006
2,0,3,AK,18220.68,0.025,0.006
2,0,4,AK,18337.182,0.025,0.005
2,0,5,AK,18391.824,0.025,0.006
2,0,6,AK,18063.63,0.024,0.005
2,0,7,AK,20760.42,0.028,0.006
2,0,8,AK,20909.354,0.028,0.006
2,0,9,AK,18869.494,0.025,0.006
2,0,10,AK,20905.836,0.028,0.006
2,0,11,AK,20775.665,0.028,0.006
2,0,12,AK,19555.141,0.026,0.006
2,0,13,AK,18063.634,0.024,0.005
2,0,14,AK,18371.201,0.025,0.005
2,0,15,AK,17892.991,0.024,0.005
2,0,16,AK,18194.427,0.025,0.005
2,0,17,AK,18185.23,0.025,0.005
2,0,18,AK,18316.023,0.025,0.005
2,0,19,AK,18077.94,0.024,0.005
2,0,20,AK,18104.507,0.024,0.005
2,0,21,AK,18026.849,0.024,0.005
2,0,22,AK,18142.314,0.024,0.005
2,0,23,AK,18197.492,0.025,0.006
2,0,24,AK,18088.158,0.024,0.005
2,0,25,AK,18315.001,0.025,0.005
2,0,26,AK,18078.962,0.024,0.005
2,0,27,AK,18063.634,0.024,0.005
2,0,28,AK,18165.816,0.024,0.005
2,0,29,AK,19036.627,0.026,0.006
2,0,30,AK,19031.347,0.026,0.006
2,0,31,AK,18978.544,0.026,0.006
2,0,32,AK,18162.299,0.024,0.006
2,0,33,AK,18243.56,0.025,0.006
2,0,34,AK,18341.954,0.025,0.006
2,0,35,AK,17555.012,0.024,0.006
2,0,36,AK,18472.473,0.025,0.006
2,0,37,AK,17628.218,0.024,0.006
2,0,38,AK,18547.978,0.025,0.006
2,0,39,AK,18615.995,0.025,0.006
2,0,40,AK,17644.895,0.024,0.006
4,1,1,AZ,69.475,0,0
4,1,6,AZ,161957.49,0.216,0.048
4,1,7,AZ,208460.741,0.278,0.063
4,1,8,AZ,131151.845,0.175,0.039
4,1,9,AZ,1112.343,0.001,0
4,1,11,AZ,202275.54,0.269,0.06
4,1,14,AZ,42383.327,0.056,0.013
4,1,27,AZ,3328.044,0.004,0.001
4,2,2,AZ,74830.748,0.103,0.023
4,2,3,AZ,33766.307,0.047,0.01
4,2,9,AZ,219929.875,0.303,0.068
4,2,10,AZ,218812.348,0.301,0.065
4,2,11,AZ,5613.55,0.008,0.002
4,2,14,AZ,172907.234,0.238,0.052
4,3,2,AZ,134113.072,0.178,0.042
4,3,3,AZ,178349.174,0.237,0.055
4,3,4,AZ,191711.291,0.255,0.057
4,3,11,AZ,20787.24,0.028,0.006
4,3,13,AZ,58472.982,0.078,0.017
4,3,19,AZ,138060.467,0.184,0.041
4,3,29,AZ,30318.102,0.04,0.009
4,4,1,AZ,158592.613,0.21,0.05
4,4,5,AZ,223889.648,0.296,0.067
4,4,6,AZ,61895.477,0.082,0.018
4,4,8,AZ,98825.874,0.131,0.03
4,4,12,AZ,2577.379,0.003,0.001
4,4,13,AZ,107369.674,0.142,0.032
4,4,16,AZ,96353.194,0.128,0.028
4,4,22,AZ,4585.231,0.006,0.001
4,4,23,AZ,1247.183,0.002,0
4,5,12,AZ,243899.822,0.309,0.073
4,5,16,AZ,148561.48,0.188,0.043
4,5,17,AZ,167379.267,0.212,0.048
4,5,25,AZ,212992.588,0.27,0.062
4,5,26,AZ,16631.327,0.021,0.005
4,6,1,AZ,17194.894,0.022,0.005
4,6,15,AZ,192414.072,0.244,0.057
4,6,20,AZ,159254.794,0.202,0.046
4,6,23,AZ,232280.57,0.294,0.071
4,6,24,AZ,8556.874,0.011,0.003
4,6,26,AZ,6995.117,0.009,0.002
4,6,28,AZ,140893.862,0.179,0.041
4,6,30,AZ,31659.768,0.04,0.01
4,7,18,AZ,4.446,0,0
4,7,19,AZ,92125.902,0.117,0.027
4,7,24,AZ,119769.565,0.152,0.035
4,7,26,AZ,9079.313,0.012,0.003
4,7,27,AZ,216230.594,0.274,0.065
4,7,29,AZ,189189.404,0.24,0.057
4,7,30,AZ,163065.259,0.207,0.05
4,8,1,AZ,58409.727,0.074,0.018
4,8,4,AZ,26034.107,0.033,0.008
4,8,13,AZ,64287.715,0.081,0.019
4,8,15,AZ,46508.135,0.059,0.014
4,8,20,AZ,83253.342,0.105,0.024
4,8,21,AZ,240368.361,0.304,0.071
4,8,22,AZ,235416.312,0.298,0.069
4,8,29,AZ,15108.475,0.019,0.005
4,8,30,AZ,20293.954,0.026,0.006
4,9,17,AZ,78473.586,0.099,0.023
4,9,18,AZ,243070.59,0.308,0.071
4,9,23,AZ,3709.313,0.005,0.001
4,9,24,AZ,101389.736,0.128,0.03
4,9,25,AZ,32436.757,0.041,0.009
4,9,26,AZ,204791.416,0.259,0.06
4,9,27,AZ,7418.626,0.009,0.002
4,9,28,AZ,102250.092,0.13,0.03
4,9,30,AZ,15924.368,0.02,0.005
5,1,10,AR,6844.743,0.009,0.002
5,1,11,AR,22753.44,0.032,0.007
5,1,12,AR,26406.466,0.037,0.008
5,1,13,AR,27141.835,0.038,0.008
5,1,14,AR,26930.306,0.037,0.008
5,1,16,AR,1542.326,0.002,0
5,1,43,AR,30721.942,0.043,0.011
5,1,44,AR,14275.269,0.02,0.005
5,1,47,AR,21408.352,0.03,0.008
5,1,48,AR,27027.245,0.037,0.01
5,1,49,AR,26764.231,0.037,0.01
5,1,50,AR,27250.339,0.038,0.011
5,1,51,AR,26909.884,0.037,0.01
5,1,52,AR,30651.438,0.042,0.012
5,1,53,AR,31017.557,0.043,0.013
5,1,54,AR,28450.299,0.039,0.012
5,1,55,AR,26276.983,0.036,0.011
5,1,56,AR,28463.308,0.039,0.012
5,1,57,AR,30815.957,0.043,0.013
5,1,58,AR,31796.7,0.044,0.013
5,1,59,AR,32655.951,0.045,0.013
5,1,60,AR,28320.499,0.039,0.011
5,1,61,AR,28471.558,0.039,0.012
5,1,62,AR,28966.449,0.04,0.012
5,1,63,AR,29830.142,0.041,0.012
5,1,64,AR,28872.163,0.04,0.012
5,1,66,AR,13140.782,0.018,0.006
5,1,83,AR,4766.59,0.007,0.003
5,1,99,AR,4841.91,0.007,0.003
5,1,100,AR,28682.964,0.04,0.019
5,2,13,AR,1038.658,0.001,0
5,2,14,AR,3399.794,0.004,0.001
5,2,21,AR,229.898,0,0
5,2,22,AR,6415.091,0.008,0.002
5,2,23,AR,32581.878,0.043,0.01
5,2,27,AR,33065.58,0.043,0.01
5,2,28,AR,31990.125,0.042,0.009
5,2,29,AR,30972.131,0.041,0.009
5,2,30,AR,29777.22,0.039,0.009
5,2,31,AR,32207.194,0.042,0.01
5,2,32,AR,29220.349,0.038,0.009
5,2,33,AR,28958.352,0.038,0.009
5,2,34,AR,29457.687,0.039,0.01
5,2,35,AR,29784.412,0.039,0.01
5,2,36,AR,30292.994,0.04,0.01
5,2,37,AR,29657.01,0.039,0.01
5,2,38,AR,30167.647,0.04,0.01
5,2,39,AR,29969.351,0.039,0.01
5,2,40,AR,31497.017,0.041,0.01
5,2,41,AR,29915.924,0.039,0.01
5,2,42,AR,29847.086,0.039,0.011
5,2,44,AR,15478.502,0.02,0.006
5,2,45,AR,29380.662,0.039,0.01
5,2,46,AR,29476.301,0.039,0.011
5,2,47,AR,6857.202,0.009,0.003
5,2,65,AR,28279.692,0.037,0.012
5,2,66,AR,16143.533,0.021,0.007
5,2,67,AR,31111.287,0.041,0.013
5,2,68,AR,8376.974,0.011,0.004
5,2,70,AR,32132.7,0.042,0.014
5,2,72,AR,31498.789,0.041,0.014
5,2,73,AR,1958.959,0.003,0.001
5,3,21,AR,9630.412,0.012,0.003
5,3,64,AR,86.267,0,0
5,3,68,AR,21507.881,0.027,0.009
5,3,69,AR,3497.032,0.004,0.002
5,3,71,AR,30281.444,0.038,0.013
5,3,73,AR,4929.513,0.006,0.002
5,3,74,AR,943.122,0.001,0
5,3,75,AR,16352.569,0.021,0.007
5,3,76,AR,29298.769,0.037,0.013
5,3,77,AR,29387.187,0.037,0.013
5,3,78,AR,29367.877,0.037,0.013
5,3,79,AR,29441.833,0.037,0.013
5,3,80,AR,32339.012,0.041,0.015
5,3,81,AR,21356.339,0.027,0.012
5,3,83,AR,19802.476,0.025,0.011
5,3,84,AR,33253.051,0.042,0.019
5,3,85,AR,32902.665,0.041,0.019
5,3,86,AR,32930.741,0.041,0.019
5,3,87,AR,34138.41,0.043,0.02
5,3,88,AR,33318.187,0.042,0.019
5,3,89,AR,32907.157,0.041,0.019
5,3,90,AR,34160.055,0.043,0.02
5,3,91,AR,34029.357,0.043,0.02
5,3,92,AR,33814.639,0.043,0.02
5,3,93,AR,34097.04,0.043,0.02
5,3,94,AR,34191.563,0.043,0.02
5,3,95,AR,34140.217,0.043,0.02
5,3,96,AR,34210.234,0.043,0.02
5,3,97,AR,25282.413,0.032,0.014
5,3,98,AR,29202.72,0.037,0.017
5,3,99,AR,24225.538,0.03,0.014
5,4,1,AR,29382.082,0.041,0.009
5,4,2,AR,29369.712,0.041,0.009
5,4,3,AR,28357.713,0.04,0.009
5,4,4,AR,28573.442,0.04,0.008
5,4,5,AR,27156.048,0.038,0.008
5,4,6,AR,28374.224,0.04,0.008
5,4,7,AR,26896.147,0.038,0.008
5,4,8,AR,27365.378,0.039,0.008
5,4,9,AR,28560.747,0.04,0.009
5,4,10,AR,19829.333,0.028,0.006
5,4,11,AR,3788.39,0.005,0.001
5,4,15,AR,29129.262,0.041,0.009
5,4,16,AR,25397.81,0.036,0.007
5,4,17,AR,26219.719,0.037,0.008
5,4,18,AR,29977.767,0.042,0.009
5,4,19,AR,27353.653,0.039,0.008
5,4,20,AR,27657.139,0.039,0.008
5,4,21,AR,19032.938,0.027,0.006
5,4,22,AR,23459.692,0.033,0.007
5,4,24,AR,29293.654,0.041,0.009
5,4,25,AR,30027.594,0.042,0.009
5,4,26,AR,29506.979,0.042,0.009
5,4,69,AR,26176,0.037,0.011
5,4,73,AR,21113.868,0.03,0.009
5,4,74,AR,27851.841,0.039,0.012
5,4,75,AR,13124.919,0.018,0.006
5,4,81,AR,9527.812,0.013,0.006
5,4,82,AR,28214.987,0.04,0.016
5,4,83,AR,4057.554,0.006,0.002
5,4,97,AR,5308.249,0.007,0.003
6,1,1,CA,429048.679,0.606,0.134
6,1,3,CA,272145.369,0.384,0.083
6,1,5,CA,1782.347,0.003,0.001
6,1,6,CA,5537.069,0.008,0.002
6,2,2,CA,365127.243,0.508,0.114
6,2,10,CA,353118.617,0.492,0.104
6,3,3,CA,207974.542,0.281,0.064
6,3,4,CA,240013.876,0.325,0.071
6,3,7,CA,28879.378,0.039,0.009
6,3,9,CA,4580.352,0.006,0.001
6,3,11,CA,257479.831,0.348,0.076
6,3,14,CA,2.13,0,0
6,4,1,CA,38300.68,0.052,0.012
6,4,5,CA,326620.321,0.445,0.098
6,4,6,CA,352771.117,0.481,0.104
6,4,23,CA,15704.758,0.021,0.005
6,5,2,CA,105887.586,0.144,0.033
6,5,4,CA,247718.657,0.336,0.073
6,5,10,CA,129418.276,0.176,0.038
6,5,14,CA,197602.37,0.268,0.059
6,5,15,CA,56490.97,0.077,0.017
6,6,7,CA,466850.46,0.622,0.141
6,6,8,CA,106571.364,0.142,0.032
6,6,9,CA,177177.734,0.236,0.055
6,7,6,CA,146318.269,0.195,0.043
6,7,8,CA,388706.504,0.518,0.116
6,7,9,CA,215291.468,0.287,0.067
6,8,5,CA,13981,0.019,0.004
6,8,26,CA,18144,0.025,0.005
6,8,33,CA,493473.092,0.67,0.152
6,8,36,CA,19900.313,0.027,0.006
6,8,40,CA,60292.955,0.082,0.02
6,8,41,CA,164.04,0,0
6,8,42,CA,130796.321,0.178,0.048
6,8,47,CA,63.092,0,0
6,9,9,CA,103281.351,0.137,0.032
6,9,11,CA,194929.881,0.258,0.058
6,9,12,CA,57751.911,0.077,0.017
6,9,13,CA,398487.327,0.528,0.117
6,9,14,CA,80.074,0,0
6,10,12,CA,431086.395,0.58,0.128
6,10,13,CA,95901.625,0.129,0.028
6,10,21,CA,216334.299,0.291,0.064
6,11,11,CA,48785.492,0.064,0.014
6,11,14,CA,304983.718,0.401,0.091
6,11,15,CA,200375.98,0.263,0.059
6,11,16,CA,206454.013,0.271,0.06
6,12,17,CA,505617.048,0.665,0.146
6,12,19,CA,254596.836,0.335,0.075
6,13,15,CA,252859.724,0.33,0.074
6,13,18,CA,512349.449,0.668,0.149
6,13,20,CA,1660.5,0.002,0
6,14,19,CA,249094.314,0.332,0.073
6,14,22,CA,443216.516,0.591,0.13
6,14,24,CA,57679.314,0.077,0.017
6,15,16,CA,299507.886,0.391,0.087
6,15,18,CA,45.822,0,0
6,15,20,CA,466615.866,0.609,0.136
6,15,25,CA,29.457,0,0
6,16,5,CA,125524.365,0.171,0.038
6,16,21,CA,268672,0.365,0.079
6,16,23,CA,113085.424,0.154,0.035
6,16,31,CA,228872.21,0.311,0.074
6,17,20,CA,35082.161,0.046,0.01
6,17,24,CA,155739.813,0.205,0.046
6,17,25,CA,489693.707,0.645,0.143
6,17,28,CA,79195.012,0.104,0.023
6,18,22,CA,49367.634,0.065,0.014
6,18,24,CA,285493.087,0.379,0.084
6,18,28,CA,346817.94,0.46,0.1
6,18,29,CA,72560.339,0.096,0.022
6,19,25,CA,9158.314,0.012,0.003
6,19,27,CA,499988.34,0.66,0.151
6,19,28,CA,76116.026,0.101,0.022
6,19,29,CA,79270.425,0.105,0.024
6,19,30,CA,92720.789,0.122,0.028
6,20,29,CA,339008.301,0.459,0.102
6,20,30,CA,399707.74,0.541,0.121
6,21,26,CA,36190.068,0.05,0.011
6,21,31,CA,212158.522,0.291,0.069
6,21,32,CA,456921.344,0.627,0.142
6,21,34,CA,23454.025,0.032,0.008
6,22,23,CA,358737.3,0.487,0.11
6,22,26,CA,325685.618,0.442,0.095
6,22,31,CA,52128.382,0.071,0.017
6,23,23,CA,5476.149,0.007,0.002
6,23,26,CA,108585.016,0.147,0.032
6,23,32,CA,23612.092,0.032,0.007
6,23,34,CA,468430.318,0.635,0.154
6,23,36,CA,131664.579,0.178,0.042
6,24,35,CA,490972.659,0.665,0.159
6,24,37,CA,247757.085,0.335,0.082
6,25,36,CA,327123.276,0.451,0.104
6,25,38,CA,398557.227,0.549,0.134
6,25,39,CA,29.943,0,0
6,25,45,CA,2.065,0,0
6,26,37,CA,238030.84,0.328,0.079
6,26,38,CA,10325.025,0.014,0.003
6,26,44,CA,477108.689,0.658,0.178
6,27,36,CA,690.756,0.001,0
6,27,41,CA,298101.728,0.41,0.104
6,27,43,CA,7.228,0,0
6,27,48,CA,38405.648,0.053,0.014
6,27,49,CA,388622.286,0.535,0.146
6,27,52,CA,561.691,0.001,0
6,28,38,CA,6.195,0,0
6,28,39,CA,60081.359,0.083,0.019
6,28,41,CA,11389.738,0.016,0.004
6,28,43,CA,459134.172,0.633,0.164
6,28,46,CA,9386.648,0.013,0.003
6,28,50,CA,115544.253,0.159,0.046
6,28,51,CA,51009.631,0.07,0.02
6,28,53,CA,19211.084,0.026,0.008
6,29,38,CA,4639.116,0.006,0.002
6,29,39,CA,414628.391,0.571,0.133
6,29,46,CA,306496.605,0.422,0.11
6,30,38,CA,71584.675,0.099,0.024
6,30,39,CA,6850.776,0.009,0.002
6,30,43,CA,24497.591,0.034,0.009
6,30,45,CA,459167.362,0.633,0.163
6,30,46,CA,163661.792,0.226,0.059
6,31,40,CA,426010.767,0.576,0.138
6,31,41,CA,67799.868,0.092,0.024
6,31,42,CA,1572.046,0.002,0.001
6,31,47,CA,243751.236,0.33,0.091
6,32,41,CA,101946.985,0.14,0.036
6,32,48,CA,437943.745,0.603,0.162
6,32,49,CA,76091.629,0.105,0.029
6,32,55,CA,33763.434,0.047,0.014
6,32,57,CA,76018.32,0.105,0.031
6,33,45,CA,23807.867,0.033,0.008
6,33,50,CA,311485.746,0.429,0.123
6,33,54,CA,36266.265,0.05,0.015
6,33,62,CA,67002.347,0.092,0.028
6,33,66,CA,274860.165,0.379,0.116
6,33,70,CA,12340.69,0.017,0.005
6,34,51,CA,326099.015,0.449,0.127
6,34,53,CA,399649.61,0.551,0.164
6,34,59,CA,14.455,0,0
6,35,47,CA,250677.702,0.34,0.093
6,35,52,CA,485617.701,0.66,0.196
6,36,42,CA,366814.968,0.479,0.134
6,36,56,CA,317080.746,0.414,0.13
6,36,67,CA,51886.813,0.068,0.022
6,36,71,CA,30715.309,0.04,0.013
6,37,50,CA,58304.391,0.08,0.023
6,37,53,CA,7149.175,0.01,0.003
6,37,54,CA,440280.34,0.607,0.18
6,37,59,CA,178595.142,0.246,0.073
6,37,62,CA,41434.032,0.057,0.017
6,38,49,CA,12873.471,0.018,0.005
6,38,57,CA,342944.594,0.472,0.141
6,38,58,CA,274592.742,0.378,0.113
6,38,63,CA,79282.182,0.109,0.033
6,38,65,CA,16407.366,0.023,0.007
6,39,52,CA,653.004,0.001,0
6,39,55,CA,449039.813,0.61,0.187
6,39,57,CA,62031.791,0.084,0.026
6,39,65,CA,207439.146,0.282,0.086
6,39,68,CA,17283.17,0.023,0.008
6,40,51,CA,103677.49,0.143,0.04
6,40,53,CA,52993.103,0.073,0.022
6,40,58,CA,208893.436,0.288,0.086
6,40,59,CA,214845.919,0.296,0.088
6,40,63,CA,145353.132,0.2,0.06
6,41,42,CA,524.517,0.001,0
6,41,60,CA,237342.202,0.31,0.095
6,41,61,CA,511647.024,0.667,0.209
6,41,67,CA,17051.702,0.022,0.007
6,42,42,CA,226.818,0,0
6,42,60,CA,275484.712,0.359,0.11
6,42,61,CA,1234.414,0.002,0.001
6,42,67,CA,435700.049,0.568,0.184
6,42,71,CA,13552.379,0.018,0.006
6,42,75,CA,40236.216,0.052,0.018
6,43,54,CA,5067.613,0.007,0.002
6,43,59,CA,49721.045,0.069,0.02
6,43,62,CA,373454.554,0.515,0.157
6,43,64,CA,89423.539,0.123,0.037
6,43,66,CA,208096.33,0.287,0.088
6,44,59,CA,37053.045,0.051,0.015
6,44,63,CA,221498.451,0.305,0.092
6,44,64,CA,392210.296,0.54,0.164
6,44,70,CA,75001.287,0.103,0.032
6,45,68,CA,379069.385,0.512,0.166
6,45,73,CA,196768.246,0.266,0.086
6,45,74,CA,164982.136,0.223,0.072
6,46,65,CA,147828.597,0.2,0.061
6,46,68,CA,91523.129,0.124,0.04
6,46,69,CA,488830.532,0.66,0.214
6,46,72,CA,12659.64,0.017,0.006
6,47,63,CA,30019.513,0.041,0.012
6,47,65,CA,114731.416,0.157,0.048
6,47,69,CA,1465.997,0.002,0.001
6,47,70,CA,396408.527,0.542,0.172
6,47,72,CA,189273.848,0.259,0.083
6,48,72,CA,293336.471,0.396,0.129
6,48,73,CA,114690.313,0.155,0.05
6,48,74,CA,332787.713,0.449,0.146
6,49,73,CA,172587.194,0.23,0.075
6,49,75,CA,12100.252,0.016,0.005
6,49,76,CA,502303.567,0.669,0.225
6,49,77,CA,28950.998,0.039,0.013
6,49,78,CA,34535.4,0.046,0.016
6,50,71,CA,304653.249,0.404,0.133
6,50,75,CA,448859.377,0.595,0.197
6,50,77,CA,1408.427,0.002,0.001
6,51,56,CA,180883,0.242,0.074
6,51,71,CA,16528.115,0.022,0.007
6,51,78,CA,32251.262,0.043,0.015
6,51,79,CA,85855.09,0.115,0.039
6,51,80,CA,431713.938,0.578,0.194
6,52,77,CA,455526.429,0.605,0.203
6,52,78,CA,292869.196,0.389,0.132
6,52,79,CA,5020.603,0.007,0.002
6,53,71,CA,131132.693,0.174,0.057
6,53,77,CA,11528.95,0.015,0.005
6,53,78,CA,135421.214,0.18,0.061
6,53,79,CA,409057.987,0.543,0.185
6,53,80,CA,66275.384,0.088,0.03
8,1,1,CO,87856.876,0.107,0.027
8,1,2,CO,87341.833,0.106,0.027
8,1,3,CO,47691.863,0.058,0.015
8,1,4,CO,87404.192,0.106,0.026
8,1,5,CO,87125.887,0.106,0.026
8,1,6,CO,87192.865,0.106,0.026
8,1,7,CO,89871.991,0.109,0.027
8,1,8,CO,87204.413,0.106,0.026
8,1,9,CO,86866.889,0.106,0.027
8,1,22,CO,72051.015,0.088,0.021
8,1,25,CO,555.21,0.001,0
8,1,38,CO,655.998,0.001,0
8,2,10,CO,82713.939,0.104,0.024
8,2,11,CO,14937.166,0.019,0.004
8,2,12,CO,53696.129,0.067,0.016
8,2,13,CO,80503.931,0.101,0.024
8,2,22,CO,4743.351,0.006,0.001
8,2,25,CO,77471.529,0.097,0.023
8,2,26,CO,15138.475,0.019,0.004
8,2,33,CO,90519.258,0.113,0.028
8,2,49,CO,70782.042,0.089,0.027
8,2,51,CO,89981.327,0.113,0.035
8,2,52,CO,89857.643,0.113,0.036
8,2,53,CO,89371.988,0.112,0.037
8,2,60,CO,8468.602,0.011,0.003
8,2,61,CO,30374,0.038,0.012
8,3,13,CO,1357,0.002,0
8,3,26,CO,63498.525,0.086,0.019
8,3,46,CO,82225.675,0.111,0.029
8,3,47,CO,56221.318,0.076,0.021
8,3,54,CO,80484.538,0.108,0.033
8,3,55,CO,80924.711,0.109,0.034
8,3,57,CO,78541,0.106,0.032
